Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
496,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,eng Premier League,21-020,2000,7.4,10,1.36,6,0,2,0,2,0,1,0.14,1,0,0,0,0,0,0,Matches
497,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,34-021,1987,21.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
498,Andrea Conti\Andrea-Conti,it ITA,DF,Milan,it Serie A,26-352,1994,0.3,3,9.64,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
499,Andrea Conti\Andrea-Conti,it ITA,DF,Parma,it Serie A,26-352,1994,4.0,6,1.51,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
500,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,eng Premier League,29-171,1991,16.8,8,0.48,6,0,0,1,0,1,2,0.12,2,0,0,0,0,0,0,Matches
501,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Villarreal,es La Liga,29-280,1991,5.5,5,0.91,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
502,Sébastien Corchia\Sebastien-Corchia,fr FRA,DF,Nantes,fr Ligue 1,30-108,1990,15.2,26,1.71,11,14,1,0,0,0,1,0.07,1,0,0,0,0,0,0,Matches
503,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,38-047,1983,22.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
504,Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,es La Liga,23-341,1997,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
505,Iñigo Córdoba\Inigo-Cordoba,es ESP,MF,Alavés,es La Liga,23-341,1997,0.8,2,2.37,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
506,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Hertha BSC,de Bundesliga,27-282,1993,10.0,33,3.31,22,0,3,2,5,1,3,0.30,1,0,0,0,2,0,0,Matches
507,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Arminia,de Bundesliga,23-192,1997,10.2,25,2.46,18,0,3,1,2,1,2,0.20,2,0,0,0,0,0,0,Matches
508,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,eng Premier League,31-237,1989,4.3,4,0.94,3,0,0,1,0,0,1,0.23,1,0,0,0,0,0,0,Matches
509,Andreas Cornelius\Andreas-Cornelius,dk DEN,FW,Parma,it Serie A,27-338,1993,13.4,19,1.41,15,0,1,2,1,0,1,0.07,0,0,0,0,1,0,0,Matches
510,Maxwel Cornet\Maxwel-Cornet,ci CIV,DFFW,Lyon,fr Ligue 1,24-143,1996,18.1,44,2.43,30,5,0,3,6,0,10,0.55,8,0,0,0,2,0,0,Matches
511,Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,25-345,1995,13.4,38,2.84,29,1,4,2,2,0,10,0.75,8,0,1,0,1,0,0,Matches
512,Joaquín Correa\Joaquin-Correa,ar ARG,FW,Lazio,it Serie A,26-188,1994,11.8,49,4.16,31,2,7,2,7,0,8,0.68,4,1,2,0,1,0,0,Matches
513,Rober Correa\Rober-Correa,es ESP,DF,Eibar,es La Liga,28-150,1992,7.5,4,0.54,3,0,0,0,1,0,1,0.13,0,0,0,0,1,0,0,Matches
514,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,es La Liga,21-345,1999,12.2,17,1.39,14,0,0,1,1,1,0,0.00,0,0,0,0,0,0,0,Matches
515,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,37-097,1983,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
516,Danny da Costa\Danny-da-Costa,de GER,DF,Mainz 05,de Bundesliga,27-219,1993,4.0,11,2.75,8,0,2,0,0,1,2,0.50,1,0,1,0,0,0,0,Matches
517,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,de Bundesliga,27-219,1993,1.2,3,2.45,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
518,David Pereira da Costa\David-Pereira-da-Costa,pt POR,MFDF,Lens,fr Ligue 1,20-043,2001,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
519,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,es La Liga,32-133,1988,2.3,9,3.89,7,0,0,1,1,0,3,1.30,2,0,0,0,1,0,0,Matches
520,Douglas Costa\Douglas-Costa,br BRA,FWMF,Bayern Munich,de Bundesliga,30-156,1990,3.6,17,4.78,8,7,2,0,0,0,2,0.56,1,0,1,0,0,0,0,Matches
521,Douglas Costa\Douglas-Costa,br BRA,MFFW,Juventus,it Serie A,30-156,1990,0.5,3,6.43,2,1,0,0,0,0,1,2.14,1,0,0,0,0,0,0,Matches
522,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,eng Premier League,27-036,1994,8.2,16,1.95,12,0,1,1,2,0,2,0.24,2,0,0,0,0,0,0,Matches
523,Jaume Costa\Jaume-Costa,es ESP,DFMF,Villarreal,es La Liga,32-336,1988,2.1,3,1.44,3,0,0,0,0,0,1,0.48,1,0,0,0,0,0,0,Matches
524,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33-229,1987,25.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
525,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,eng Premier League,28-179,1992,19.9,41,2.06,32,6,0,1,1,1,4,0.20,4,0,0,0,0,0,0,Matches
526,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,29-180,1991,5.2,7,1.34,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
527,Lassana Coulibaly\Lassana-Coulibaly,ml MLI,MF,Angers,fr Ligue 1,24-313,1996,13.7,15,1.09,13,0,0,0,1,1,3,0.22,2,0,0,0,0,1,0,Matches
528,Mamadou Coulibaly\Mamadou-Coulibaly,sn SEN,MF,Udinese,it Serie A,22-014,1999,2.0,6,2.93,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0,0,Matches
529,Senou Coulibaly\Senou-Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,26-166,1994,9.8,2,0.21,1,0,0,1,0,0,1,0.10,0,0,0,1,0,0,0,Matches
530,Tanguy Coulibaly\Tanguy-Coulibaly,fr FRA,DFFW,Stuttgart,de Bundesliga,19-365,2001,9.6,30,3.12,19,0,6,2,3,0,1,0.10,1,0,0,0,0,0,0,Matches
531,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,28-282,1992,23.0,3,0.13,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
532,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Barcelona,es La Liga,28-250,1992,7.3,24,3.30,18,1,1,1,3,0,4,0.55,4,0,0,0,0,0,0,Matches
533,Nicolas Cozza\Nicolas-Cozza,fr FRA,DF,Montpellier,fr Ligue 1,22-040,1999,7.8,3,0.38,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
534,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,26-234,1994,22.0,1,0.05,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
535,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,eng Premier League,31-064,1989,24.0,62,2.58,31,26,1,3,1,0,10,0.42,4,4,0,1,1,0,0,Matches
536,Domenico Criscito\Domenico-Criscito,it ITA,DF,Genoa,it Serie A,34-049,1986,10.2,8,0.79,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
537,Bryan Cristante\Bryan-Cristante,it ITA,DFMF,Roma,it Serie A,25-351,1995,11.5,17,1.48,13,0,0,3,0,1,3,0.26,3,0,0,0,0,0,0,Matches
538,Giovanni Crociata\Giovanni-Crociata,it ITA,DFMF,Crotone,it Serie A,23-190,1997,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
539,Juan Cruz Armada\Juan-Cruz-Armada,es ESP,DF,Osasuna,es La Liga,28-204,1992,15.8,7,0.44,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
540,Juan Cuadrado\Juan-Cuadrado,co COL,DF,Juventus,it Serie A,32-267,1988,13.4,48,3.59,26,12,7,1,2,0,9,0.67,7,1,0,0,1,0,0,Matches
541,Adrián Cubas\Adrian-Cubas,py PAR,MF,Nîmes,fr Ligue 1,24-271,1996,16.6,11,0.66,7,0,1,0,0,3,0,0.00,0,0,0,0,0,0,0,Matches
542,Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,es ESP,MF,Eibar,es La Liga,21-165,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
543,Cucho\Cucho,co COL,FWMF,Getafe,es La Liga,21-303,1999,13.6,30,2.21,24,0,2,1,3,0,5,0.37,5,0,0,0,0,0,0,Matches
544,Marc Cucurella\Marc-Cucurella,es ESP,MF,Getafe,es La Liga,22-210,1998,22.8,46,2.02,33,2,2,0,8,1,2,0.09,1,0,1,0,0,0,0,Matches
545,Mickaël Cuisance\Mickael-Cuisance,fr FRA,FW,Bayern Munich,de Bundesliga,21-185,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
546,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,Marseille,fr Ligue 1,21-185,1999,9.7,17,1.76,14,0,1,1,1,0,3,0.31,3,0,0,0,0,0,0,Matches
547,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,Hertha BSC,de Bundesliga,21-266,1999,17.7,74,4.18,32,17,9,5,6,5,7,0.39,4,1,0,2,0,0,0,Matches
548,Giuseppe Cuomo\Giuseppe-Cuomo,it ITA,DF,Crotone,it Serie A,23-015,1998,5.4,2,0.37,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
549,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Fiorentina,it Serie A,23-045,1998,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
550,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,eng Premier League,23-045,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
551,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Valencia,es La Liga,23-045,1998,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
552,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Parma,it Serie A,26-020,1995,4.3,12,2.78,8,3,0,0,1,0,1,0.23,1,0,0,0,0,0,0,Matches
553,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,de Bundesliga,30-279,1990,13.7,7,0.51,6,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
554,Lennart-Marten Czyborra\Lennart-Marten-Czyborra,de GER,DF,Genoa,it Serie A,21-290,1999,10.0,3,0.30,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
555,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,it Serie A,32-161,1988,4.4,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
556,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,fr Ligue 1,32-276,1988,20.0,13,0.65,12,0,0,0,0,1,1,0.05,1,0,0,0,0,0,0,Matches
557,Bryan Dabo\Bryan-Dabo,bf BFA,MF,Benevento,it Serie A,28-365,1992,7.5,14,1.87,12,1,0,0,1,0,2,0.27,2,0,0,0,0,0,0,Matches
558,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,de Bundesliga,28-279,1992,9.5,20,2.11,15,0,2,1,2,0,2,0.21,2,0,0,0,0,0,0,Matches
559,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,22-161,1998,9.9,17,1.72,14,0,1,0,2,0,3,0.30,3,0,0,0,0,0,0,Matches
560,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,de Bundesliga,22-327,1998,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
561,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,de Bundesliga,25-047,1996,3.6,6,1.65,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0,0,Matches
562,Leon Dajaku\Leon-Dajaku,de GER,FW,Union Berlin,de Bundesliga,19-311,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
563,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,eng Premier League,29-304,1991,22.9,39,1.70,34,0,1,3,0,1,3,0.13,3,0,0,0,0,0,0,Matches
564,Diogo Dalot\Diogo-Dalot,pt POR,DF,Milan,it Serie A,21-336,1999,5.5,3,0.54,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
565,Mikkel Damsgaard\Mikkel-Damsgaard,dk DEN,MFFW,Sampdoria,it Serie A,20-229,2000,12.8,36,2.81,27,4,3,1,0,1,9,0.70,5,1,3,0,0,0,0,Matches
566,Flavius Daniliuc\Flavius-Daniliuc,at AUT,DF,Nice,fr Ligue 1,19-296,2001,11.3,9,0.80,6,0,0,2,0,1,0,0.00,0,0,0,0,0,0,0,Matches
567,Danilo\Danilo,br BRA,DF,Juventus,it Serie A,29-217,1991,19.5,32,1.64,30,0,1,1,0,0,4,0.21,4,0,0,0,0,0,0,Matches
568,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,eng Premier League,34-003,1987,12.0,4,0.33,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
569,Dante\Dante,br BRA,DF,Nice,fr Ligue 1,37-122,1983,8.6,8,0.93,7,0,0,1,0,0,1,0.12,1,0,0,0,0,0,0,Matches
570,Andrea Danzi\Andrea-Danzi,it ITA,MFDF,Hellas Verona,it Serie A,21-358,1999,1.2,1,0.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
571,Márton Dárdai\Marton-Dardai,de GER,DF,Hertha BSC,de Bundesliga,19-005,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
572,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,30-193,1990,15.5,52,3.35,36,9,3,0,4,0,8,0.52,8,0,0,0,0,0,0,Matches
573,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30-132,1990,24.0,3,0.12,1,2,0,0,0,0,1,0.04,1,0,0,0,0,0,0,Matches
574,Matteo Darmian\Matteo-Darmian,it ITA,DF,Inter,it Serie A,31-077,1989,6.4,17,2.66,15,1,0,0,1,0,3,0.47,2,0,0,0,1,0,0,Matches
575,Matteo Darmian\Matteo-Darmian,it ITA,DF,Parma,it Serie A,31-077,1989,2.3,1,0.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
576,Jonathan David\Jonathan-David,ca CAN,FW,Lille,fr Ligue 1,21-034,2000,16.4,51,3.11,37,1,6,5,2,0,8,0.49,5,0,1,1,1,0,0,Matches
577,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,de Bundesliga,20-107,2000,9.8,24,2.46,20,0,1,0,3,0,2,0.21,1,0,0,0,1,0,0,Matches
578,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,eng Premier League,27-299,1993,13.6,17,1.25,12,0,1,0,2,2,4,0.29,2,0,1,0,1,0,0,Matches
579,Tom Davies\Tom-Davies,eng ENG,MFDF,Everton,eng Premier League,22-232,1998,7.9,12,1.52,12,0,0,0,0,0,1,0.13,1,0,0,0,0,0,0,Matches
580,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,eng Premier League,23-004,1998,0.6,5,8.49,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
581,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,eng Premier League,21-036,2000,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
582,Paweł Dawidowicz\Pawel-Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,25-273,1995,13.0,7,0.54,3,0,1,2,0,1,0,0.00,0,0,0,0,0,0,0,Matches
583,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,eng Premier League,30-287,1990,9.0,5,0.56,2,1,0,1,1,0,0,0.00,0,0,0,0,0,0,0,Matches
584,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,eng Premier League,29-234,1991,15.6,101,6.47,65,18,5,4,4,5,15,0.96,12,0,1,0,1,1,0,Matches
585,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Udinese,it Serie A,33-349,1987,6.9,2,0.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
586,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MF,Udinese,it Serie A,26-269,1994,20.8,100,4.80,57,21,7,5,8,2,7,0.34,5,0,0,2,0,0,0,Matches
587,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Lyon,fr Ligue 1,28-120,1992,8.4,13,1.55,11,1,0,0,0,1,1,0.12,0,1,0,0,0,0,0,Matches
588,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Juventus,it Serie A,28-120,1992,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
589,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Bologna,it Serie A,32-270,1988,14.2,11,0.77,8,1,0,2,0,0,0,0.00,0,0,0,0,0,0,0,Matches
590,Thibault De Smet\Thibault-De-Smet,be BEL,DF,Reims,fr Ligue 1,22-257,1998,4.5,9,2.00,6,1,1,0,1,0,1,0.22,1,0,0,0,0,0,0,Matches
591,Lucas Deaux\Lucas-Deaux,fr FRA,MFDF,Nîmes,fr Ligue 1,32-053,1988,14.7,27,1.83,24,0,1,1,0,1,4,0.27,4,0,0,0,0,0,0,Matches
592,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,35-204,1985,12.9,18,1.40,15,0,0,3,0,0,2,0.16,0,0,0,2,0,0,0,Matches
593,Grégoire Defrel\Gregoire-Defrel,mq MTQ,FWMF,Sassuolo,it Serie A,29-245,1991,7.4,26,3.50,22,1,1,1,1,0,3,0.40,2,0,0,0,1,0,0,Matches
594,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Spezia,it Serie A,25-200,1995,4.0,10,2.50,7,3,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
595,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,it Serie A,25-200,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
596,Romain Del Castillo\Romain-Del-Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,24-325,1996,5.2,23,4.42,11,4,5,1,0,2,4,0.77,2,1,1,0,0,0,0,Matches
597,Lorenzo Del Pinto\Lorenzo-Del-Pinto,it ITA,MF,Benevento,it Serie A,30-245,1990,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
598,Thomas Delaine\Thomas-Delaine,fr FRA,DF,Metz,fr Ligue 1,28-330,1992,12.7,19,1.50,14,0,3,1,1,0,1,0.08,1,0,0,0,0,0,0,Matches
599,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,de Bundesliga,29-167,1991,8.9,13,1.46,9,0,0,1,1,2,0,0.00,0,0,0,0,0,0,0,Matches
600,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,eng Premier League,18-009,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
601,Jonathan Delaplace\Jonathan-Delaplace,fr FRA,DF,Lorient,fr Ligue 1,34-334,1986,8.6,21,2.45,19,2,0,0,0,0,1,0.12,1,0,0,0,0,0,0,Matches
602,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Spezia,it Serie A,27-007,1994,2.7,1,0.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
603,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,fr Ligue 1,29-131,1991,17.8,70,3.94,53,2,2,6,7,0,11,0.62,9,0,1,0,1,0,0,Matches
604,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,eng Premier League,31-088,1989,2.4,2,0.84,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
605,Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,fr Ligue 1,24-220,1996,7.5,23,3.06,14,0,2,4,2,1,1,0.13,1,0,0,0,0,0,0,Matches
606,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FW,Barcelona,es La Liga,23-278,1997,10.1,40,3.97,27,6,3,3,1,0,6,0.60,4,0,1,1,0,0,0,Matches
607,Merih Demiral\Merih-Demiral,tr TUR,DF,Juventus,it Serie A,22-349,1998,6.2,4,0.64,2,0,0,2,0,0,1,0.16,0,0,0,1,0,0,0,Matches
608,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,de Bundesliga,27-229,1993,10.5,41,3.90,18,15,3,4,1,0,3,0.29,0,2,0,1,0,0,0,Matches
609,Ermedin Demirović\Ermedin-Demirovic,ba BIH,FW,Freiburg,de Bundesliga,22-329,1998,8.9,19,2.15,13,0,1,1,3,1,6,0.68,4,0,1,1,0,0,0,Matches
610,Diego Demme\Diego-Demme,de GER,MF,Napoli,it Serie A,29-088,1991,8.3,15,1.80,12,0,1,0,0,2,1,0.12,1,0,0,0,0,0,0,Matches
611,Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,fr Ligue 1,25-234,1995,18.9,5,0.26,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
612,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,eng Premier League,25-308,1995,16.7,28,1.68,24,0,1,3,0,0,2,0.12,0,0,0,2,0,0,0,Matches
613,Kevin Denkey\Kevin-Denkey,tg TOG,FW,Nîmes,fr Ligue 1,20-079,2000,5.8,9,1.55,5,0,0,3,1,0,1,0.17,1,0,0,0,0,0,0,Matches
614,Emmanuel Dennis\Emmanuel-Dennis,ng NGA,FW,Köln,de Bundesliga,23-094,1997,2.3,4,1.72,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
615,Stefano Denswil\Stefano-Denswil,nl NED,DF,Bologna,it Serie A,27-286,1993,1.3,2,1.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
616,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Benevento,it Serie A,23-299,1997,3.0,1,0.33,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
617,Fabio Depaoli\Fabio-Depaoli,it ITA,MF,Sampdoria,it Serie A,23-299,1997,0.9,1,1.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
618,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Atalanta,it Serie A,23-299,1997,2.1,4,1.88,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
619,Memphis Depay\Memphis-Depay,nl NED,FW,Lyon,fr Ligue 1,27-004,1994,21.1,115,5.44,66,21,10,7,7,4,16,0.76,10,1,3,0,1,1,0,Matches
620,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Arminia,de Bundesliga,28-125,1992,13.9,5,0.36,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
621,Kastriot Dermaku\Kastriot-Dermaku,al ALB,DF,Parma,it Serie A,29-033,1992,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
622,Kiril Despodov\Kiril-Despodov,bg BUL,FW,Cagliari,it Serie A,24-098,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
623,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,es La Liga,20-106,2000,11.5,24,2.09,22,1,1,0,0,0,1,0.09,1,0,0,0,0,0,0,Matches
624,Mattia Destro\Mattia-Destro,it ITA,FW,Genoa,it Serie A,29-334,1991,10.0,12,1.20,6,0,2,2,0,2,1,0.10,1,0,0,0,0,0,0,Matches
625,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Udinese,it Serie A,26-341,1994,6.6,17,2.56,11,1,1,0,3,1,5,0.75,2,0,1,0,1,1,0,Matches
626,Deyverson\Deyverson,br BRA,FW,Alavés,es La Liga,29-285,1991,8.7,14,1.61,10,0,0,1,3,0,3,0.34,1,0,0,1,1,0,0,Matches
627,Jacopo Dezi\Jacopo-Dezi,it ITA,FWMF,Parma,it Serie A,29-007,1992,0.9,1,1.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
628,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Hellas Verona,it Serie A,32-150,1988,5.6,11,1.98,6,0,0,1,4,0,2,0.36,0,0,0,1,1,0,0,Matches
629,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Crotone,it Serie A,32-150,1988,2.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
630,Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,it ITA,DF,Napoli,it Serie A,27-197,1993,20.0,63,3.15,53,4,2,2,0,2,8,0.40,7,0,0,1,0,0,0,Matches
631,Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,fr Ligue 1,33-003,1988,15.0,93,6.21,52,21,5,6,7,2,13,0.87,9,1,0,1,1,1,0,Matches
632,Giuseppe Di Serio\Giuseppe-Di-Serio,it ITA,MFFW,Benevento,it Serie A,19-212,2001,1.9,7,3.77,4,0,0,2,1,0,1,0.54,1,0,0,0,0,0,0,Matches
633,Boulaye Dia\Boulaye-Dia,sn SEN,FW,Reims,fr Ligue 1,24-093,1996,20.7,52,2.51,34,0,10,2,4,2,7,0.34,2,0,3,1,1,0,0,Matches
634,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,es La Liga,29-272,1991,0.2,2,10.00,1,0,0,1,0,0,1,5.00,0,0,0,1,0,0,0,Matches
635,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,21-225,1999,19.6,56,2.85,42,0,10,2,1,1,10,0.51,7,0,2,1,0,0,0,Matches
636,Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,eng Premier League,29-112,1991,3.2,6,1.85,3,0,0,1,1,1,2,0.62,1,0,0,1,0,0,0,Matches
637,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,es La Liga,24-060,1996,14.0,4,0.29,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
638,Abdou Diallo\Abdou-Diallo,fr FRA,DF,Paris S-G,fr Ligue 1,24-289,1996,10.4,3,0.29,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
