Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
311,Nassim Boujellab\Nassim-Boujellab,ma MAR,MFFW,Schalke 04,de Bundesliga,21-242,1999,6.2,12,1.93,7,0,0,2,3,0,0,0.00,0,0,0,0,0,0,0,Matches
312,Farid Boulaya\Farid-Boulaya,dz ALG,MFFW,Metz,fr Ligue 1,27-358,1993,20.6,90,4.37,43,26,7,2,12,0,6,0.29,3,1,0,0,2,0,0,Matches
313,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,es La Liga,29-318,1991,19.0,3,0.16,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
314,Ismaëlben Boura\Ismaelben-Boura,fr FRA,DF,Lens,fr Ligue 1,20-187,2000,6.8,6,0.88,4,1,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
315,Mehdi Bourabia\Mehdi-Bourabia,ma MAR,MF,Sassuolo,it Serie A,29-194,1991,5.2,7,1.34,5,0,2,0,0,0,1,0.19,1,0,0,0,0,0,0,Matches
316,Benjamin Bourigeaud\Benjamin-Bourigeaud,fr FRA,MF,Rennes,fr Ligue 1,27-034,1994,18.0,68,3.78,31,29,1,6,0,1,7,0.39,2,5,0,0,0,0,0,Matches
317,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,eng Premier League,24-059,1996,19.6,59,3.01,33,10,3,7,5,1,8,0.41,4,3,0,1,0,0,0,Matches
318,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,de Bundesliga,30-081,1990,12.8,8,0.62,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
319,John Boye\John-Boye,gh GHA,DF,Metz,fr Ligue 1,33-300,1987,22.4,10,0.45,8,0,0,1,0,1,2,0.09,2,0,0,0,0,0,0,Matches
320,Lucas Boyé\Lucas-Boye,ar ARG,FW,Elche,es La Liga,24-355,1996,14.8,19,1.29,12,0,3,1,3,0,2,0.14,1,0,1,0,0,0,0,Matches
321,Can Bozdogan\Can-Bozdogan,de GER,MF,Schalke 04,de Bundesliga,19-318,2001,4.5,5,1.11,5,0,0,0,0,0,1,0.22,1,0,0,0,0,0,0,Matches
322,Umut Bozok\Umut-Bozok,tr TUR,FWMF,Lorient,fr Ligue 1,24-151,1996,0.7,4,5.90,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
323,Domagoj Bradarić\Domagoj-Bradaric,hr CRO,DF,Lille,fr Ligue 1,21-069,1999,13.3,21,1.58,21,0,0,0,0,0,4,0.30,4,0,0,0,0,0,0,Matches
324,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,eng Premier League,29-034,1992,10.9,16,1.47,11,2,0,2,0,1,1,0.09,0,1,0,0,0,0,0,Matches
325,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Barcelona,es La Liga,29-257,1991,10.1,15,1.48,10,0,0,1,3,1,2,0.20,0,0,0,1,0,1,0,Matches
326,Julian Brandt\Julian-Brandt,de GER,FWMF,Dortmund,de Bundesliga,24-291,1996,11.6,50,4.33,42,2,2,2,2,0,2,0.17,2,0,0,0,0,0,0,Matches
327,Darko Brašanac\Darko-Brasanac,rs SRB,MFFW,Osasuna,es La Liga,29-005,1992,2.2,1,0.45,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
328,Lilian Brassier\Lilian-Brassier,fr FRA,DF,Brest,fr Ligue 1,21-107,1999,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
329,Alvaro Bravo Jiménez\Alvaro-Bravo-Jimenez,es ESP,MF,Granada,es La Liga,23-013,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
330,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,es La Liga,37-310,1983,9.0,3,0.33,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
331,Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,de Bundesliga,22-239,1998,13.4,51,3.80,36,8,4,2,1,0,7,0.52,4,0,1,1,1,0,0,Matches
332,Gleison Bremer\Gleison-Bremer,br BRA,DF,Torino,it Serie A,23-336,1997,18.0,10,0.56,8,0,0,1,0,1,1,0.06,1,0,0,0,0,0,0,Matches
333,Joshua Brenet\Joshua-Brenet,nl NED,DF,Hoffenheim,de Bundesliga,26-334,1994,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
334,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,eng Premier League,20-322,2000,8.2,13,1.59,9,0,0,2,2,0,0,0.00,0,0,0,0,0,0,0,Matches
335,Anthony Briançon\Anthony-Briancon,fr FRA,DF,Nîmes,fr Ligue 1,26-081,1994,13.0,6,0.46,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
336,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Bordeaux,fr Ligue 1,35-199,1985,5.5,4,0.73,3,0,0,0,1,0,3,0.55,2,0,0,0,1,0,0,Matches
337,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,es La Liga,23-175,1997,6.9,2,0.29,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
